"ParticipantID","Age","Location","DietType","LocalFoodFrequency","TransportationMode","EnergySource","HomeType","HomeSize","ClothingFrequency","SustainableBrands","EnvironmentalAwareness","CommunityInvolvement","MonthlyElectricityConsumption","MonthlyWaterConsumption","Gender","UsingPlasticProducts","DisposalMethods","PhysicalActivities","Rating","energy_score","transportation_score","disposal_score","electricity_score","water_score","sustainability_score"
1,35,"Urban","Mostly Plant-Based","Often","Bike","Renewable","Apartment",800,"Rarely",TRUE,5,"High",100,1500,"Female","Rarely","Composting","High",5,3,3,3,4.98,3.5,3.248
2,28,"Suburban","Balanced","Sometimes","Public Transit","Mixed","House",1500,"Sometimes",TRUE,4,"Moderate",250,3000,"Male","Sometimes","Recycling","Moderate",4,2,2,2,1.992,1.75,1.9742
3,65,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2500,"Often",FALSE,2,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
4,42,"Urban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",950,"Sometimes",TRUE,4,"Moderate",150,2000,"Female","Rarely","Recycling","High",5,3,3,2,3.32,2.625,2.7945
5,31,"Suburban","Balanced","Sometimes","Public Transit","Mixed","House",1800,"Often",TRUE,3,"Low",300,3500,"Non-Binary","Sometimes","Combination","Moderate",3,2,2,NA,1.66,1.5,NA
6,58,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2200,"Always",FALSE,1,NA,450,5000,"Male","Often","Landfill","None",1,1,1,1,1.10666666666667,1.05,1.01566666666667
7,25,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",600,"Rarely",TRUE,5,"High",80,1200,"Female",NA,"Composting","High",5,3,3,3,6.225,4.375,3.46
8,39,"Suburban","Balanced","Often","Public Transit","Renewable","House",1600,"Sometimes",TRUE,4,"Moderate",200,2800,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.49,1.875,2.3365
9,52,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",2000,"Often",TRUE,3,"Low",350,4000,"Male","Rarely","Combination","Low",3,2,3,NA,1.42285714285714,1.3125,NA
10,29,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1100,"Always",FALSE,2,NA,380,4200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.31052631578947,1.25,1.05605263157895
11,48,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1400,"Sometimes",TRUE,5,"High",120,1800,"Male","Rarely","Composting","High",5,3,3,3,4.15,2.91666666666667,3.10666666666667
12,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",900,"Often",FALSE,3,"Low",280,3200,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.77857142857143,1.640625,1.94191964285714
13,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",750,"Always",FALSE,1,NA,420,4800,"Male","Often","Landfill","None",1,1,1,1,1.18571428571429,1.09375,1.02794642857143
14,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1300,"Rarely",TRUE,4,"Moderate",160,2200,"Female",NA,"Composting","High",5,3,3,3,3.1125,2.38636363636364,2.94988636363636
15,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1050,"Sometimes",TRUE,4,"Moderate",220,3000,"Prefer not to say","Sometimes","Recycling","Moderate",4,3,2,2,2.26363636363636,1.75,2.30136363636364
16,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1900,"Often",TRUE,3,"Low",320,3800,"Female","Rarely","Combination","Low",3,2,3,NA,1.55625,1.38157894736842,NA
17,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",650,"Always",FALSE,2,NA,400,4600,"Male","Often","Landfill","None",1,1,1,1,1.245,1.14130434782609,1.03863043478261
18,50,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1550,"Rarely",TRUE,5,"High",130,1900,"Female",NA,"Composting","High",5,3,3,3,3.83076923076923,2.76315789473684,3.05939271255061
19,24,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",850,"Often",TRUE,3,"Moderate",260,3100,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.91538461538462,1.69354838709677,1.96089330024814
20,63,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2400,"Always",FALSE,1,NA,480,5200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.0375,1.00961538461538,1.00471153846154
21,41,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","House",1200,"Rarely",TRUE,5,"High",90,1400,"Female",NA,"Composting","High",5,3,3,3,5.53333333333333,3.75,3.32833333333333
22,30,"Suburban","Balanced","Often","Public Transit","Mixed","Apartment",1000,"Sometimes",FALSE,3,"Low",290,3400,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.71724137931034,1.54411764705882,1.92613590263692
23,57,"Rural","Mostly Plant-Based","Sometimes","Walk","Renewable","Other",700,"Often",TRUE,4,"Moderate",180,2600,"Male","Rarely","Combination","Moderate",4,3,3,NA,2.76666666666667,2.01923076923077,NA
24,26,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1150,"Always",FALSE,2,NA,360,4100,"Non-Binary","Often","Landfill","None",1,1,1,1,1.38333333333333,1.28048780487805,1.06638211382114
